MID,CHURN,CALL_CENTRE_CALLS,MFTR,EXTERNAL_CONGESTION_ERRORS,NORMAL_CALLS,SUBSCRIBER_ERRORS,QOS_CONGESTION,QOS_SUBSCRIBER,QOS_GROUP,USAGE_DIRECTION,EVENT_TYPE_DATA_USAGE_DIRECTION,EVENT_TYPE_INCOMING_USAGE_DIRECT,EVENT_TYPE_OUTGOING_USAGE_DIRECT,EVENT_TYPE_SMS_USAGE_DIRECTION,OUTGOING_OVERALL,INCOMING_OVERALL,SMS_OVERALL,DATA_OVERALL,USAGE_LIFESTYLE,LIFESTYLE
215,"0",1,"LG",0,3,0,0.000000,0.000000,"Good",56.333333,,,56.333333,,-0.821643,-1.000000,-1.000000,-1.000000,"Low Overall","Homebody"
218,"0",,"Samsung",0,444,0,0.000000,0.000000,"Good",0.915150,,0.648703,1.188467,0.908280,0.196133,0.239501,1.371384,-1.000000,"High SMS","Daily Grinder"
220,"0",,"Apple",0,52,0,0.000000,0.000000,"Good",1.565762,,1.274510,0.222222,3.200553,-0.754252,-0.744112,-0.584621,-0.753266,"Other Usage","Undef"
221,"1",2,"HTC",0,93,0,0.000000,0.000000,"Good",0.912221,,1.181818,0.994536,0.560310,-0.595976,-0.671709,-0.303594,-1.000000,"No Data Usage","Norm Peterson"
222,"0",5,"LG",0,32,0,0.000000,0.000000,"Good",0.915698,,0.787879,0.456140,1.503075,-0.823419,-0.772180,-0.147292,-1.000000,"No Data Usage","Homebody"
227,"0",,"Apple",0,153,0,0.000000,0.000000,"Good",0.418765,,0.611111,0.240741,0.404444,-0.599235,-0.341142,-0.698904,-1.000000,"No Data Usage","Daily Grinder"
228,"0",,"Apple",2,1177,0,0.001699,0.000000,"Good",1.764489,,1.444444,1.815009,2.034014,1.957316,1.648432,-0.312493,-1.000000,"Voice Caller","Delivering the Goods"
231,"0",,"Apple",1,143,0,0.006993,0.000000,"Fair",0.901520,,1.507246,0.812500,0.384813,-0.557750,-0.465338,-0.616583,-1.000000,"No Data Usage","Daily Grinder"
232,"0",5,"Apple",1,114,1,0.008772,0.008772,"Poor",0.975455,,0.802469,0.984848,1.139048,-0.777329,-0.279298,-0.641306,-1.000000,"No Data Usage","Daily Grinder"
236,"0",,"LG",0,42,0,0.000000,0.000000,"Good",2.675917,,7.222222,0.780000,0.025528,-0.722043,-0.797343,-0.536356,-1.000000,"No Data Usage","Homebody"
240,"0",1,"LG",0,181,0,0.000000,0.000000,"Good",0.813296,,0.892157,0.833333,0.714397,-0.341363,-0.622967,2.373347,-1.000000,"High SMS","Daily Grinder"
242,"0",2,"Apple",2,163,0,0.012270,0.000000,"Fair",0.541730,,0.050980,0.547893,1.026316,-0.577924,-0.413306,-0.282991,-1.000000,"No Data Usage","Daily Grinder"
243,"0",,"Apple",2,63,0,0.031746,0.000000,"Poor",2.126785,,2.407407,1.857143,2.115806,-0.648056,-0.744197,-0.581719,-1.000000,"No Data Usage","Norm Peterson"
244,"1",,"Samsung",4,381,0,0.010499,0.000000,"Fair",1.916768,,1.300000,1.045543,3.404762,0.478247,-0.644544,-0.716172,-1.000000,"Voice Caller","Undef"
245,"0",,"Apple",1,126,0,0.007937,0.000000,"Fair",1.847963,5.142749,0.899371,0.747126,0.602604,-0.670143,-0.501585,-0.484422,-0.093737,"Other Usage","Daily Grinder"
249,"1",,"Samsung",0,760,0,0.000000,0.000000,"Good",0.000000,,0.000000,0.000000,0.000000,1.151498,0.902242,-0.623528,-1.000000,"Voice Caller","Night Shift"
253,"0",2,"LG",0,138,0,0.000000,0.000000,"Good",1.420245,,1.318841,0.978495,1.963399,-0.549956,-0.698747,0.316473,-1.000000,"High SMS","Norm Peterson"
254,"0",,"Samsung",0,158,0,0.000000,0.000000,"Good",0.192582,,0.072222,0.128713,0.376812,-0.554275,-0.493339,-0.703253,-1.000000,"No Data Usage","Norm Peterson"
255,"0",,"Nokia",0,180,0,0.000000,0.000000,"Good",1.009295,,1.805556,1.030303,1.201320,-0.311824,-0.662855,-0.685870,-1.000000,"No Data Usage","Norm Peterson"
256,"0",,"Samsung",0,8,0,0.000000,0.000000,"Good",0.481481,,0.000000,0.000000,1.444444,-0.865204,-0.835571,-0.722907,-1.000000,"Low Overall","Homebody"
257,"0",3,"LG",0,565,0,0.000000,0.000000,"Good",0.774977,,1.023451,1.301479,0.000000,0.299545,0.529953,-0.716724,-1.000000,"Voice Caller","Norm Peterson"
258,"0",4,"Samsung",0,258,0,0.000000,0.000000,"Good",0.462695,,0.169935,0.884817,0.333333,0.086009,-0.566022,-0.724678,-1.000000,"Voice Caller","Daily Grinder"
259,"0",,"Apple",0,59,0,0.000000,0.000000,"Good",1.986726,5.177621,1.083333,1.162602,0.523349,-0.722883,-0.799944,-0.291464,-0.114013,"Other Usage","Daily Grinder"
264,"0",,"Apple",0,98,0,0.000000,0.000000,"Good",2.830275,5.429472,1.000000,0.606667,4.284963,-0.667399,-0.562981,1.054648,-0.107507,"High SMS","Daily Grinder"
265,"0",,"Apple",1,382,0,0.002618,0.000000,"Good",2.126086,5.566751,1.157761,0.967851,1.080925,-0.063185,0.150330,0.451486,-0.154728,"High SMS","Daily Grinder"
270,"0",,"Apple",12,503,0,0.023857,0.000000,"Poor",1.995056,3.965596,1.083333,1.374326,1.556969,0.642908,0.024718,-0.136055,-0.183285,"High Overall","Daily Grinder"
271,"0",,"Samsung",0,9,0,0.000000,0.000000,"Good",3.630585,6.842105,0.000000,6.933333,0.746902,-0.843831,-0.838688,0.235401,-0.681434,"High SMS","Daily Grinder"
272,"1",,"LG",0,57,0,0.000000,0.000000,"Good",1.404762,2.888889,0.619048,1.444444,0.666667,-0.712304,-0.756220,-0.721942,-0.751454,"Low Overall","Undef"
275,"0",2,"Motorola",2,210,0,0.009524,0.000000,"Fair",1.447490,4.415985,1.019608,0.659420,1.142434,-0.317460,-0.432158,1.121981,-0.285752,"High SMS","Daily Grinder"
277,"0",,"Apple",1,149,0,0.006711,0.000000,"Fair",0.891990,,0.975000,0.925094,0.775876,-0.443387,-0.506735,2.300407,-1.000000,"High SMS","Norm Peterson"
280,"0",,"Samsung",0,319,0,0.000000,0.000000,"Good",1.019299,,1.250859,1.077213,0.729825,-0.163674,-0.135429,-0.640135,-0.754042,"Voice Caller","Daily Grinder"
281,"0",,"RIM",0,8,0,0.000000,0.000000,"Good",0.000000,0.000000,,0.000000,0.000000,-0.839828,-1.000000,-0.684198,-0.750006,"Other Usage","Homebody"
285,"0",,"Apple",0,192,0,0.000000,0.000000,"Good",1.787701,4.941844,1.118280,0.532164,0.558519,-0.458751,-0.364674,-0.641991,-0.073975,"Other Usage","Daily Grinder"
286,"1",,"Samsung",0,180,0,0.000000,0.000000,"Good",2.641375,4.765661,1.238095,1.937669,2.624074,-0.257431,-0.705261,-0.621656,-0.198567,"Other Usage","Daily Grinder"
