LOCATION,EVENT_SUCCESS_Mean,EVENT_DURATION_Mean,Record_Count,Region,District,LONGITUDE,LATITUDE
"Cell_S1742",1.000000,38.000000,1,"West","Clementi",103.761602,1.328376
"Cell_S1743",1.000000,345.000000,1,"West","Dover Buona Vista Singapore Polytechnic",103.791215,1.303943
"Cell_S1744",0.750000,46.250000,4,"West","Pasir Panjang Alexandra Kent Ridge",103.800998,1.272301
"Cell_S1745",1.000000,245.000000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.799869,1.274196
"Cell_S1746",1.000000,200.833333,6,"West","Dover Buona Vista Singapore Polytechnic",103.783527,1.306687
"Cell_S1747",1.000000,8.500000,2,"West","Dover Buona Vista Singapore Polytechnic",103.783527,1.306687
"Cell_S1748",0.953488,93.511628,43,"West","Clementi",103.766536,1.313986
"Cell_S1749",0.800000,195.000000,5,"West","Dover Buona Vista Singapore Polytechnic",103.790015,1.297991
"Cell_S175",1.000000,163.555556,9,"Central","Marina South",103.860503,1.278887
"Cell_S1750",1.000000,128.000000,3,"West","Clementi",103.760867,1.312517
"Cell_S1751",1.000000,87.500000,4,"West","Clementi",103.766536,1.313986
"Cell_S1752",1.000000,104.500000,4,"West","Pasir Panjang Alexandra Kent Ridge",103.789273,1.290684
"Cell_S1753",1.000000,39.000000,1,"West","Clementi",103.770853,1.315351
"Cell_S1754",1.000000,29.000000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.801922,1.277305
"Cell_S1755",1.000000,28.750000,4,"West","Clementi",103.765432,1.296842
"Cell_S1756",1.000000,18.000000,3,"West","Clementi",103.769466,1.303728
"Cell_S1757",1.000000,20.000000,4,"West","Dover Buona Vista Singapore Polytechnic",103.781566,1.308118
"Cell_S1758",1.000000,12.000000,1,"West","Clementi",103.770893,1.318018
"Cell_S1759",1.000000,31.333333,3,"West","Clementi",103.760250,1.308657
"Cell_S176",1.000000,158.000000,2,"Central","Marina Esplanade Suntec",103.858203,1.294902
"Cell_S1760",1.000000,21.000000,1,"West","Clementi",103.766536,1.313986
"Cell_S1761",1.000000,13.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.799423,1.277399
